,Times,User,Tweet
152,2022-06-28 09:56:11,Hazar4456,"Manchester United, Cristiano Ronaldo'nun ayrılması halinde yerine Neymar'ı düşünüyor. Sizce doğru bir karar mı? https://t.co/MVPZmeAIaz"
153,2022-06-28 09:56:11,dejikhalifa,RT @TimelineCR7: Throwback to when Lebron James had a fanboy moment over Cristiano Ronaldo’s bicycle kick goal against Juventus in the UCL.…
154,2022-06-28 09:56:10,SpringchatApp,"Which front 3 was the best to watch? 🤩

#ronaldo #CR7𓃵 https://t.co/daouDSB2dn"
155,2022-06-28 09:56:10,herroi_,"RT @PessiAdemoDeux: Selon vous qui est le meilleur ?

Messi 🔃                      ronaldo ❤ https://t.co/fZlUEd7VgP"
156,2022-06-28 09:56:09,fess_born,"RT @mrmacaronii: If Ronaldo joins Chelsea, I become a Chelsea fan. 
Any club Cristiano Ronaldo goes, I follow 😭"
157,2022-06-28 09:56:08,Bolano_michu,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
158,2022-06-28 09:56:07,VisitsAngel,RT @Point_God_11_: Day 50 manifesting Cristiano Ronaldo to @FCBayern https://t.co/acVsBgo4D3
159,2022-06-28 09:56:06,Miss__Kyle,RT @Katlove85: I'm always on point like Ronaldo n Messi 🌶 https://t.co/ZfikqlPvUV
160,2022-06-28 09:56:04,hashim_auta,@goal Don't westing your time Rooney Ronaldo teves is the best partnership in football
161,2022-06-28 09:56:04,SerialSufferer,@goal Tevez Ronaldo Rooney 🔥🔥🔥
162,2022-06-28 09:56:03,you____78,RT @_Nassimhmd: « Cristiano Ronaldo n’a rien fais pendant les classico » https://t.co/G4bLnDlFwK
